key	verdict	reason	licence	regions	diacritics	file	text
File:Зеница 20190729 083859.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20190729_083859.jpg	ND
File:Velika aleja 19.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_19.jpg	
File:Зеница 20180620 052637.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180620_052637.jpg	
File:Vrelo Bosne by фарис.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Vrelo_Bosne_by_фарис.jpg	
File:Celebici.JPG	drop	only 1 confident region(s)	CC BY-SA	1	2	Celebici.JPG	Čelebići
File:Banjaluka 2024.jpg	keep		CC BY-SA	2	0	Banjaluka_2024.jpg	Ocum | 22.0
File:Зеница 20190810 164548.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_164548.jpg	
File:20130606 Mostar 047.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	20130606_Mostar_047.jpg	
File:Зеница 20190509 170905.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190509_170905.jpg	
File:Sarajevo (16616175600).jpg	drop	only 0 confident region(s)	CC BY	0	0	Sarajevo_16616175600_.jpg	
File:Tuzla Airport Passport Control.jpg	keep		CC BY-SA	4	0	Tuzla_Airport_Passport_Control.jpg	Carina | Customs | Informac | Informat
File:Grude-07-2008-01280.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Grude-07-2008-01280.JPG	
File:Прашнице Зеница 20180625 182104.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Прашнице_Зеница_20180625_182104.jpg	
File:Kosača-fort-Ljubuški02207.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Kosača-fort-Ljubuški02207.JPG	
File:Šeher-Cehajina cuprija 25022014386.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Šeher-Cehajina_cuprija_25022014386.jpg	
File:Зеница 20230203 183134.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230203_183134.jpg	
File:Споменик погинулим руским добровољцима и борцима ВРС на Граду - Вишеград 03.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Споменик_погинулим_руским_добровољцима_и_борцима_ВРС_на_Граду_-_Вишеград_03.jpg	Kocoba
File:Зеница 20190502 173154.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190502_173154.jpg	
File:Benzinkút, Bare, Doboj.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Benzinkút_Bare_Doboj.jpg	
File:Kraljeva Sutjeska̞ 1.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Kraljeva_Sutjeska_1.jpg	
File:Зеница 20190427 142912.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190427_142912.jpg	
File:Hastahana 02.jpg	keep		CC BY-SA	3	0	Hastahana_02.jpg	XACTAXAHA | HASTAHANA | tn
File:Зеница 20200301 164925.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20200301_164925.jpg	Fpierrecardin
File:Зеница 20200223 163216.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20200223_163216.jpg	
File:Зеница 20190815 135152.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_135152.jpg	
File:Зеница 20190815 145919.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_145919.jpg	
File:Зеница 20190810 163839.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_163839.jpg	
File:20200423 174326 Aleja Ambasadora.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	20200423_174326_Aleja_Ambasadora.jpg	
File:Ruined Building Mostar 2009.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Ruined_Building_Mostar_2009.jpg	
File:The Sebilj (14102922401).jpg	drop	only 0 confident region(s)	CC BY	0	0	The_Sebilj_14102922401_.jpg	
File:Vuksic Ortstafel.png	keep		CC BY-SA	2	2	Vuksic_Ortstafel.png	D | Vukšić
File:Зеница 20190810 164036.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_164036.jpg	
File:Political correctness in Bosnia (14151146675).jpg	keep		CC BY	19	4	Political_correctness_in_Bosnia_14151146675_.jpg	oko | Violet | vama | šteti | vamai | va5. | ozbiljno | Taste | oko | šteti | Pušenje | drugim | va5- | ozbiljno | Fine | drugima | Pušenje | oko | Taste
File:Not Wet, Bosnia (3801779595).jpg	keep		CC BY-SA	2	0	Not_Wet_Bosnia_3801779595_.jpg	Mokro | Mokpo
File:Зеница 20221220 104133.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221220_104133.jpg	
File:Зеница 20190810 171856.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_171856.jpg	
File:Зеница 20190729 133421.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190729_133421.jpg	
File:M16 (Bosnien-Herzegowina).jpg	keep		CC BY-SA	6	1	M16_Bosnien-Herzegowina_.jpg	Beorpaa | Beograd | BanjaLuka | Buxah | Bihać | MGrad
File:Repúblika Srpska (33219967290).jpg	keep		CC BY	3	0	Repúblika_Srpska_33219967290_.jpg	V | WELCOME | TOREPUBLIC OF SRPSKA
File:Sarajevo (13).JPG	drop	only 0 confident region(s)	CC BY	0	0	Sarajevo_13_.JPG	
File:Sarajevo Visit (6097097843).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Visit_6097097843_.jpg	
File:Зеница 20190812 230543.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190812_230543.jpg	
File:Bulevar Stepe Stepanovica u Adi.jpg	drop	only 0 confident region(s)	CC BY	0	0	Bulevar_Stepe_Stepanovica_u_Adi.jpg	
File:BosOtoka-most.jpg	drop	only 1 confident region(s)	PD	1	0	BosOtoka-most.jpg	Ua
File:Kresevo, view eastward - panoramio.jpg	drop	only 0 confident region(s)	CC BY	0	0	Kresevo_view_eastward_-_panoramio.jpg	
File:BASA-1771K-1-1163-83-Jajce.jpeg	drop	only 0 confident region(s)	PD	0	0	BASA-1771K-1-1163-83-Jajce.jpeg	
File:Široki09086.JPG	drop	only 0 confident region(s)	PD	0	0	Široki09086.JPG	
File:Banjaluko, srećan ti praznik.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Banjaluko_srećan_ti_praznik.jpg	
File:Зеница 20190810 164625.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_164625.jpg	
File:Tuzla - Tušanj Stadium 18 (2019).jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Tuzla_-_Tušanj_Stadium_18_2019_.jpg	PLAN
File:Зеница 20190715 111602.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190715_111602.jpg	
File:Kuca porodice Jovic Banja Luka.jpg	keep		CC0	3	0	Kuca_porodice_Jovic_Banja_Luka.jpg	I0 | 10 | MOBILE
File:Zenica05289.JPG	drop	only 0 confident region(s)	PD	0	0	Zenica05289.JPG	
File:Photo-tour Novi Grad - Participants 13.jpg	keep		CC BY-SA	4	0	Photo-tour_Novi_Grad_-_Participants_13.jpg	V | TO | CPTICKY | WELCOME
File:Зеница 20190504 212629.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190504_212629.jpg	
File:Зеница 20190810 165537.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_165537.jpg	
File:Zastava near Koševo stadium, Sarajevo.JPG	keep		CC BY-SA	2	0	Zastava_near_Koševo_stadium_Sarajevo.JPG	PLANKRETANJA | EVAKUACIJE
File:Зеница 20200323 121205.jpg	keep		CC BY-SA	2	2	Зеница_20200323_121205.jpg	DENARO | GRAĐEŠE
File:Зеница 20190810 163620.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_163620.jpg	
File:Kraljevac, Visoko.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Kraljevac_Visoko.jpg	
File:Ilidza Pizzeria-Ildzis 2010-07-05.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Ilidza_Pizzeria-Ildzis_2010-07-05.jpg	
File:Inscript in Morića Han.JPG	drop	only 0 confident region(s)	CC0	0	0	Inscript_in_Morića_Han.JPG	
File:Livno, Bosna i Hercegovina, obelisk iz 1925., tekst.jpg	keep		CC BY	2	0	Livno_Bosna_i_Hercegovina_obelisk_iz_1925._tekst.jpg	PFVOG | TOMISLAVA
File:Зеница 20191204 012654.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20191204_012654.jpg	
File:Зеница 20190713 130246.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190713_130246.jpg	
File:Зеница 20200323 121404.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20200323_121404.jpg	
File:Зеница 20190713 131325.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190713_131325.jpg	
File:Prelovo 13.jpg	keep		CC BY-SA	2	0	Prelovo_13.jpg	CIIABA | MM
File:Зеница 20190815 084536.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_084536.jpg	
File:Зеница 20180315 161639.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180315_161639.jpg	
File:Second photo-tour Trace of Soul 2017 06.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Second_photo-tour_Trace_of_Soul_2017_06.jpg	
File:Alley in Novo Naselje, Visoko.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Alley_in_Novo_Naselje_Visoko.jpg	
File:Tuzla - Konzum Patriotske lige (2019).jpg	keep		CC BY-SA	3	0	Tuzla_-_Konzum_Patriotske_lige_2019_.jpg	065706249 | KONZUM | OD
File:Gradsko narodno pozorište Foča 02.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Gradsko_narodno_pozorište_Foča_02.jpg	004a
File:Zenica05291.JPG	drop	only 0 confident region(s)	PD	0	0	Zenica05291.JPG	
File:Museo della Storia, Sarajevo (9545958353).jpg	drop	only 0 confident region(s)	CC BY	0	0	Museo_della_Storia_Sarajevo_9545958353_.jpg	
File:Njivice01879.JPG	drop	only 1 confident region(s)	CC BY-SA	1	1	Njivice01879.JPG	š
File:Зеница 20190812 132534.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190812_132534.jpg	
File:Magribija 01.jpg	drop	only 1 confident region(s)	CC BY-SA	1	1	Magribija_01.jpg	MIAGRIBIJADŽAMIJA
File:Зеница 20190811 114533.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190811_114533.jpg	
File:Зеница 20180620 052746.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180620_052746.jpg	
File:Зеница 20180628 090152.jpg	keep		PD	3	0	Зеница_20180628_090152.jpg	Drustvozaproizvodnju,trgovinuiusluge | DAJIC | Gorazdanska 87
File:Бањалука 20190605 134959.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Бањалука_20190605_134959.jpg	
File:Ulaz u Žegulju.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Ulaz_u_Žegulju.jpg	eryta
File:Visoko opština.jpg	drop	only 0 confident region(s)	CC0	0	0	Visoko_opština.jpg	
File:Sarajevo siege sniper screens.jpg	drop	flat colour (256 shades): a drawing, not a photograph	CC BY	0	0	Sarajevo_siege_sniper_screens.jpg	
File:94540-Saravejo (8269350670).jpg	drop	only 0 confident region(s)	CC BY	0	0	94540-Saravejo_8269350670_.jpg	
File:Mostar14BIH75.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar14BIH75.JPG	
File:Kazandziluk.jpg	drop	only 0 confident region(s)	CC BY	0	0	Kazandziluk.jpg	
File:Velika aleja 30.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_30.jpg	
File:Mostar, Bosnia and Herzegovina 31 July 2022 - 05.jpg	drop	only 1 confident region(s)	CC BY	1	0	Mostar_Bosnia_and_Herzegovina_31_July_2022_-_05.jpg	Lamie
File:Privalj-raskrižje08631.JPG	keep		CC BY-SA	3	1	Privalj-raskrižje08631.JPG	Livno | Posušje | Grude
File:Bulevar vojvode Petra Bojovica - Istocni tranzit.jpg	drop	only 1 confident region(s)	CC BY	1	0	Bulevar_vojvode_Petra_Bojovica_-_Istocni_tranzit.jpg	0
File:NKD015 Господска улица.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	NKD015_Господска_улица.jpg	
File:Velika aleja 01.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_01.jpg	
File:Зеница 20200323 121144.jpg	drop	only 1 confident region(s)	CC BY-SA	1	2	Зеница_20200323_121144.jpg	GRAĐEŠE
File:Зеница 20190614 091150.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190614_091150.jpg	
File:Nacionalni park Drina 17.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Nacionalni_park_Drina_17.jpg	15091992
File:Republica Srpska Banja Luka David Dragicevic upright.jpg	drop	only 1 confident region(s)	CC BY	1	0	Republica_Srpska_Banja_Luka_David_Dragicevic_upright.jpg	TPET
File:Tuzla - Derviš Sušić Biblioteka 4 (2019).jpg	keep		CC BY-SA	4	0	Tuzla_-_Derviš_Sušić_Biblioteka_4_2019_.jpg	IRSKOJ | GOVERNMENT | AND | THE
File:Зеница 20190810 165128.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_165128.jpg	
File:Travnik 0480-.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Travnik_0480-.jpg	
File:Зеница 20200223 163202.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20200223_163202.jpg	
File:Зеница 20190810 162759.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_162759.jpg	
File:Зеница 20190501 103636.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190501_103636.jpg	
File:Зеница 20190810 163940.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_163940.jpg	
File:Sanski Most5.JPG	drop	only 0 confident region(s)	PD	0	0	Sanski_Most5.JPG	
File:Зеница 20190719 084931.jpg	keep		CC BY-SA	3	0	Зеница_20190719_084931.jpg	NE | GAZITE | TRAVU
File:Зеница 20190810 173612.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_173612.jpg	
File:Photo Exhibition Trebinje 02.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Photo_Exhibition_Trebinje_02.jpg	
File:Trnovo RS north Krupac IMG 1056.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Trnovo_RS_north_Krupac_IMG_1056.jpg	
File:Зеница 20190810 164314.jpg	keep		CC BY-SA	3	0	Зеница_20190810_164314.jpg	PEKARA | PEKARA | ZLATAR
File:Господска0031.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Господска0031.jpg	
File:Зеница 20190119 150439.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190119_150439.jpg	
File:Зеница 20180712 220042.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180712_220042.jpg	
File:Добој, парк зими.jpg	keep		CC BY-SA	2	1	Добој_парк_зими.jpg	Foto | Gorđana-CI
File:20130606 Mostar 079.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	20130606_Mostar_079.jpg	Ncubli
File:Une rue - A1579.jpg	drop	only 0 confident region(s)	CC0	0	0	Une_rue_-_A1579.jpg	
File:Zenica map.jpg	keep		CC BY	3	0	Zenica_map.jpg	LEGENDA | PLANGRADA | ZENICE
File:Horse carriage at Vrelo Bosne.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Horse_carriage_at_Vrelo_Bosne.JPG	
File:Dariva.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Dariva.jpg	
File:Velika aleja 06.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_06.jpg	
File:Skretanje za Amhiće09277.JPG	drop	only 1 confident region(s)	CC BY-SA	1	1	Skretanje_za_Amhiće09277.JPG	Ahmići
File:Зеница 20191017 185109.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20191017_185109.jpg	
File:Зеница 20190811 115735.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190811_115735.jpg	
File:Velika aleja 09.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_09.jpg	
File:Sarajevo 20170717 C.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_20170717_C.jpg	
File:Зеница 20190819 160226.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190819_160226.jpg	
File:Зеница 20180628 072942.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180628_072942.jpg	
File:Velika aleja 39.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Velika_aleja_39.jpg	
File:NKD015 Господска улица6.jpg	drop	no region with 3+ letters	CC BY-SA	4	0	NKD015_Господска_улица6.jpg	30 | 50 | 50 | 30
File:Kazandziluk 10.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Kazandziluk_10.jpg	
File:Studenci 094844.jpg	keep		CC BY-SA	2	0	Studenci_094844.jpg	Rijeka | Studenci
File:Sarajevo (49090407521).jpg	keep		CC BY	6	0	Sarajevo_49090407521_.jpg	B0 | 0000 | Kaffee | RCA | nicef | DO
File:Glavatičevo – groblje.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Glavatičevo_groblje.jpg	RAHO
File:Зеница 20180712 220323.jpg	keep		CC BY-SA	7	0	Зеница_20180712_220323.jpg	Travnik | Vitez | Centar | Lehtap | Astanica | Mittal | A.ctahna
File:Sarajevo Saraci 2011-11-08 (4).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sarajevo_Saraci_2011-11-08_4_.jpg	
File:Aleja Ambasadora.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Aleja_Ambasadora.jpg	
File:Sarajevo Sipad-Komerc 2011-11-09.jpg	drop	only 1 confident region(s)	CC BY-SA	1	1	Sarajevo_Sipad-Komerc_2011-11-09.jpg	ŠIPAD
File:Umoljani – nekropole 8.jpg	keep		CC BY-SA	3	0	Umoljani_nekropole_8.jpg	NEKROPOLE | HEKPONON | NECROPOLISES
File:Зеница 20221214 152817.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221214_152817.jpg	
File:Travnik (10349605645).jpg	drop	only 0 confident region(s)	CC BY	0	0	Travnik_10349605645_.jpg	
File:Прашнице Зеница 20180625 182641.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Прашнице_Зеница_20180625_182641.jpg	
File:Зеница 20180802 103942.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180802_103942.jpg	
File:Зеница 20221214 152825.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221214_152825.jpg	
File:Зеница 20190815 145721.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190815_145721.jpg	
File:Sarajevo (49090408181).jpg	keep		CC BY	2	1	Sarajevo_49090408181_.jpg	Demleme | trileće
File:Зеница 20190810 173616.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20190810_173616.jpg	
File:Господска улица кроз вријеме.jpg	keep		CC BY-SA	6	0	Господска_улица_кроз_вријеме.jpg	PR | 065 | OF | Inda | 27X | 1969
File:Зеница 20221220 103536.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20221220_103536.jpg	
File:West Mostar04994.JPG	drop	only 1 confident region(s)	CC BY-SA	1	0	West_Mostar04994.JPG	vlMI
File:Зеница 20200323 121234.jpg	drop	only 1 confident region(s)	CC BY-SA	1	2	Зеница_20200323_121234.jpg	GRAĐEŠE
File:VisokoTransport.jpg	drop	only 0 confident region(s)	PD	0	0	VisokoTransport.jpg	
File:Зеница 20180620 052000.jpg	drop	only 1 confident region(s)	CC BY-SA	1	0	Зеница_20180620_052000.jpg	PEHARE
File:Mostar 01, Bosna a Hercegovina.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar_01_Bosna_a_Hercegovina.jpg	
File:Avtovac, krávy na silnici.jpg	drop	only 0 confident region(s)	CC BY	0	0	Avtovac_krávy_na_silnici.jpg	
File:Kazandziluk 09.jpg	keep		CC BY-SA	4	1	Kazandziluk_09.jpg	6 | KAZANDŽILUK | ZANATSKA | SAMOSTALNA
File:Зеница 20230203 211044.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20230203_211044.jpg	
File:Sarajevo FR-BER 2011-11-13 (9).jpg	keep		CC BY-SA	2	0	Sarajevo_FR-BER_2011-11-13_9_.jpg	P | MOTOREXI
File:Zenica05292.JPG	drop	only 0 confident region(s)	PD	0	0	Zenica05292.JPG	
File:West Mostar04993.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	West_Mostar04993.JPG	
File:Зеница 20190810 165105.jpg	keep		CC BY-SA	3	0	Зеница_20190810_165105.jpg	ZENIA | PLANGBADA | ZENICE
File:Skretanje za Brkiće,Ljubuški310141.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Skretanje_za_Brkiće_Ljubuški310141.JPG	
File:Otvorenje Ljeta 2007 (19).JPG	skip	too small: 500x375					
File:Give way ahead.jpg	skip	too small: 214x223					
File:Children ahead.jpg	skip	too small: 248x216					
File:Falling from Coast.jpg	skip	too small: 208x183					
File:RSwelcome.JPG	skip	too small: 312x500					
File:Steep ascent.jpg	skip	too small: 207x174					
File:Зеница 20190810 182945.ogv	skip	not a photo format: application/ogg					
File:End of overtaking prohibition.jpg	skip	too small: 228x196					
File:Зеница - 1891-03-31 - Изрок, позив за упис власништва 2. страница.jpg	skip	too small: 417x728					
File:Амерички универзитет у Тузли.jpg	skip	too small: 670x509					
File:Velika realna gimnazija nakon dogradnje zapadnog krila, 1903. godine.jpg	skip	too small: 600x385					
File:Židovski kulturni centar Banja Luka.jpg	skip	too small: 700x393					
File:Grahovčići 124010.ogv	skip	not a photo format: application/ogg					
File:Sarajevo City Council 2024.svg	skip	not a photo format: image/svg+xml					
File:Zmija2.jpg	skip	too small: 401x303					
File:Tuzla-Park sojenica.jpg	skip	too small: 816x414					
File:S mitinga u oslobođenom Mostaru. 16. studenoga 1945. godine.jpg	skip	too small: 738x524					
File:Шарл Иријарт панорама Бање Луке.png	skip	too small: 814x453					
File:Siegelmarke Stadt-Bezirksamt D. Tuzla W0301738.jpg	skip	too small: 230x270					
File:Brajkovići 100826.webm	skip	not a photo format: video/webm					
File:ETH-BIB-Mostar, Türkin im Bazar-Dia 247-10371.tif	skip	not a photo format: image/tiff					
File:Patch of the 44th Home Guard Battalion.svg	skip	not a photo format: image/svg+xml					
File:Зеница - 1891-03-31 - Изрок, позив за упис власништва 1. страница.jpg	skip	too small: 417x761					
File:Зеница - 1906 - штрајк зеничких радника 1.jpg	skip	too small: 410x355					
File:Зеница - 1468, 1469 - први сумарни попис Босанског санџака, дефтер.jpg	skip	too small: 421x566					
File:University of Mostar Rectorate Building 1.jpg	skip	too small: 450x600					
File:Banja Luka 1890s.png	skip	too small: 555x711					
File:Refugees Fleeing from Tuzla 1999.jpg	skip	too small: 400x364					
File:Lokomotive Seitenansicht Ljubljana 20231228.tiff	skip	not a photo format: image/tiff					
File:Guča Gora 122019.webm	skip	not a photo format: video/webm					
File:Durch Bosnien und die Herzegovina kreuz und quer; Wanderungen (1897) (14801793493).jpg	refused	licence not on the list: 'No restrictions'					
File:Tuzla Stara Gimnazija.jpg	skip	too small: 536x336					
File:Дом синдиката у Бањој Луци.jpg	skip	too small: 700x516					
File:Tuzla-Tuzlanka.jpg	skip	too small: 544x408					
File:КраљаПетра0064.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	КраљаПетра0064.jpg	
File:Vjeverica.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Vjeverica.jpg	
File:Maršal Tito govori na velikom narodnom zboru u slobodnom Sarajevu novembra 1945.jpg	drop	flat colour (256 shades): a drawing, not a photograph	PD	0	0	Maršal_Tito_govori_na_velikom_narodnom_zboru_u_slobodnom_Sarajevu_novembra_1945.jpg	
File:Bosnia and Herzegovina-02250 - Overall View (10481345065).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Bosnia_and_Herzegovina-02250_-_Overall_View_10481345065_.jpg	
File:Cinovnicki paviljon aleja sv s 24 nkd 161.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Cinovnicki_paviljon_aleja_sv_s_24_nkd_161.JPG	
File:Mostar 02.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar_02.jpg	
File:Mostar (5821100799).jpg	drop	only 0 confident region(s)	CC BY	0	0	Mostar_5821100799_.jpg	
File:Old Town Architecture - Mostar - Bosnia and Herzegovina.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Old_Town_Architecture_-_Mostar_-_Bosnia_and_Herzegovina.jpg	
File:Old town, Mostar (21) (29768492441).jpg	drop	only 0 confident region(s)	CC BY	0	0	Old_town_Mostar_21_29768492441_.jpg	
File:Mostar (2690100558).jpg	drop	flat colour (256 shades): a drawing, not a photograph	CC BY	0	0	Mostar_2690100558_.jpg	
File:Mostar14BIH23.JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar14BIH23.JPG	
File:Omerbegovica zgrada Jevrejska 12 14 16 18 Banja Luka.jpg	drop	only 1 confident region(s)	CC0	1	1	Omerbegovica_zgrada_Jevrejska_12_14_16_18_Banja_Luka.jpg	ŽITOPEKA
File:FotoTuraBL131341.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	FotoTuraBL131341.jpg	
File:Bristol 576x768.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Bristol_576x768.jpg	
File:Milomir Kovacevic Strasni.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Milomir_Kovacevic_Strasni.jpg	
File:Sparrow nesting in a bullet hole in Sarajevo.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Sparrow_nesting_in_a_bullet_hole_in_Sarajevo.jpg	
File:Зеница - 1903 - „Дорфлебен” (Сеоски живот), Рихард Конрад Кромар фон Хохенволф 5.jpg	drop	only 0 confident region(s)	PD	0	0	Зеница_-_1903_-_Дорфлебен_Сеоски_живот_Рихард_Конрад_Кромар_фон_Хохенволф_5.jpg	
File:FotoTuraBL125218.jpg	keep		CC BY-SA	4	1	FotoTuraBL125218.jpg	ZA | DRUŠTVO | MIKROKREDITNO | PENZIONERE
File:Travnik Bahnhof.jpg	drop	only 0 confident region(s)	PD	0	0	Travnik_Bahnhof.jpg	
File:WeddingCoupleSarajevo (3).JPG	drop	only 0 confident region(s)	CC BY-SA	0	0	WeddingCoupleSarajevo_3_.JPG	
File:Грчка0059.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Грчка0059.jpg	
File:Зеница 20180620 051502.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Зеница_20180620_051502.jpg	
File:НиколеПашића0049.jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	НиколеПашића0049.jpg	
File:West Mostar04999.JPG	drop	only 1 confident region(s)	CC BY-SA	1	0	West_Mostar04999.JPG	896
File:Skottskadat hus 25 juli 2023.jpg	drop	only 0 confident region(s)	CC0	0	0	Skottskadat_hus_25_juli_2023.jpg	
File:Mostar, 2013 (02).jpg	drop	only 0 confident region(s)	CC BY-SA	0	0	Mostar_2013_02_.jpg	
